incident_id,year,month,day_of_week,season,time_of_day,country,area_type,population_density_per_sqkm,crime_type,crime_severity_score,victim_count,victim_gender,victim_age_group,injuries_reported,fatalities,financial_loss_usd,weapon_used,suspect_status,case_status,reporting_method,response_time_minutes,officers_assigned,investigation_duration_days,repeat_offender,gang_related,drug_related,cctv_coverage,lighting_condition,prior_incidents_same_location,safety_index,crime_resolved
CRM0000001,2025,7,Monday,Spring,Afternoon (12pm-6pm),South Africa,Remote,30,Domestic Violence,6.0,2,Female,18-25,0,0,3006.86,Knife,Acquitted,Pending Trial,Emergency Call,9.7,4,40,Yes,No,No,Full Coverage,Partially Lit,1,69.8,Yes
CRM0000002,2025,10,Sunday,Spring,Morning (6am-12pm),USA,Suburban,322,Robbery,5.7,1,Male,46-55,0,0,1626.49,Unknown,Convicted,Open - Active,Emergency Call,31.6,1,128,No,No,No,Partial Coverage,Well Lit,3,52.7,No
CRM0000003,2021,8,Saturday,Autumn,Morning (6am-12pm),USA,Rural,72,Vandalism,4.5,1,Female,Under 18,0,0,563.27,,Unknown,Open - Active,Police Station,16.3,5,108,Unknown,Yes,No,Partial Coverage,Well Lit,0,77.2,No
CRM0000004,2025,6,Monday,Autumn,Night (10pm-2am),France,Urban,5148,Assault,3.7,1,Female,26-35,0,0,181.99,Firearm,At Large,Open - Cold Case,Police Station,78.8,3,85,No,No,No,Partial Coverage,Partially Lit,5,41.1,No
CRM0000005,2024,9,Friday,Spring,Evening (6pm-10pm),Mexico,Urban,3524,Arson,2.9,1,Male,36-45,0,0,111.9,,Unknown,Closed - Solved,Community Report,60.2,2,27,Unknown,No,No,Partial Coverage,Well Lit,4,45.6,Yes
CRM0000006,2024,10,Monday,Winter,Morning (6am-12pm),South Africa,Urban,1598,Domestic Violence,3.5,1,Male,26-35,0,0,63.1,Knife,Unknown,Open - Cold Case,Anonymous Tip,32.2,2,12,Yes,No,Unknown,Partial Coverage,Well Lit,4,63.1,No
CRM0000007,2024,4,Sunday,Spring,Morning (6am-12pm),UK,Urban,1002,Drug Offense,4.8,1,Female,18-25,0,0,269.29,Unknown,Acquitted,Pending Trial,Emergency Call,17.5,4,16,No,Unknown,Unknown,Full Coverage,Well Lit,3,84.9,Yes
CRM0000008,2025,12,Monday,Winter,Evening (6pm-10pm),Brazil,Urban,2262,Murder,7.7,3,Unknown,56-65,4,0,10350.54,Firearm,Unknown,Open - Active,Emergency Call,11.7,8,140,Yes,Yes,No,Full Coverage,Partially Lit,4,39.4,No
CRM0000009,2024,1,Tuesday,Autumn,Afternoon (12pm-6pm),South Africa,Urban,2103,Theft,4.3,1,Male,26-35,0,0,397.2,Firearm,Arrested,Closed - Solved,Emergency Call,29.0,3,39,No,No,No,Full Coverage,Well Lit,3,45.8,Yes
CRM0000010,2022,11,Thursday,Winter,Night (10pm-2am),India,Rural,143,Robbery,4.9,1,Male,46-55,0,0,152.92,Knife,Under Investigation,Open - Active,Police Station,37.0,1,42,No,No,No,Partial Coverage,Partially Lit,1,52.2,No
CRM0000011,2023,10,Sunday,Spring,Late Night (2am-6am),Brazil,Suburban,282,Cybercrime,6.5,1,Male,26-35,0,0,501.87,Firearm,Arrested,Open - Active,Police Station,52.0,2,46,Yes,Yes,No,No Coverage,Partially Lit,1,25.5,No
CRM0000012,2024,8,Monday,Autumn,Evening (6pm-10pm),Brazil,Remote,22,Burglary,6.1,1,Male,36-45,0,0,244.06,Knife,Unknown,Closed - Unsolved,Police Station,12.1,3,31,No,Yes,Yes,Partial Coverage,Poorly Lit,0,50.4,No
CRM0000013,2025,11,Sunday,Spring,Afternoon (12pm-6pm),Mexico,Suburban,710,Drug Offense,6.0,1,Female,26-35,0,0,921.58,,Convicted,Open - Active,Police Station,118.0,1,14,No,No,No,No Coverage,Poorly Lit,2,38.0,No
CRM0000014,2025,5,Friday,Winter,Morning (6am-12pm),USA,Suburban,709,Burglary,4.3,1,Unknown,18-25,0,0,180.35,Knife,At Large,Closed - Unsolved,Police Station,39.8,4,25,Yes,No,No,Full Coverage,Well Lit,3,59.0,No
CRM0000015,2024,5,Friday,Summer,Evening (6pm-10pm),Australia,Urban,1892,Fraud,5.0,1,Male,36-45,2,0,82.7,Unknown,Acquitted,Open - Cold Case,Police Station,33.8,4,15,No,No,No,Full Coverage,Partially Lit,4,63.1,No
CRM0000016,2022,10,Sunday,Autumn,Night (10pm-2am),Egypt,Urban,969,Extortion,6.4,2,Female,Under 18,0,0,1184.16,Firearm,Acquitted,Open - Active,Online Portal,74.6,3,127,No,No,Unknown,No Coverage,Well Lit,2,38.6,No
CRM0000017,2023,12,Saturday,Spring,Late Night (2am-6am),Nigeria,Urban,4023,Domestic Violence,3.2,1,Female,36-45,0,0,277.01,Firearm,Acquitted,Closed - Solved,Online Portal,37.9,2,46,No,,No,Full Coverage,Well Lit,3,66.7,Yes
CRM0000018,2024,6,Monday,Summer,Afternoon (12pm-6pm),South Africa,Suburban,190,Assault,5.2,1,Male,36-45,0,0,26.53,Vehicle,Convicted,Closed - Solved,Emergency Call,18.8,1,6,Yes,No,Yes,Partial Coverage,Well Lit,1,49.7,Yes
CRM0000019,2022,11,Thursday,Winter,Late Night (2am-6am),South Africa,Suburban,249,Sexual Assault,2.8,1,Female,46-55,0,0,17.09,Chemical,Under Investigation,Closed - Solved,Community Report,10.0,4,4,Yes,No,Unknown,Full Coverage,Well Lit,4,82.0,Yes
CRM0000020,2024,10,Monday,Autumn,Evening (6pm-10pm),South Africa,Urban,3118,Burglary,2.1,1,Male,36-45,0,0,32.4,,Arrested,Open - Cold Case,Police Station,44.8,2,89,No,Unknown,No,No Coverage,Well Lit,6,56.1,No
CRM0000021,2025,4,Saturday,Autumn,Evening (6pm-10pm),Indonesia,Urban,1696,Sexual Assault,2.1,1,Male,Under 18,0,0,29.8,Unknown,Acquitted,Open - Cold Case,Online Portal,58.4,2,3,No,No,Unknown,No Coverage,Partially Lit,1,57.5,No
CRM0000022,2025,3,Wednesday,Autumn,Evening (6pm-10pm),India,Rural,159,Fraud,4.7,1,Male,26-35,0,0,177.29,,Arrested,Closed - Solved,Police Station,13.0,1,33,No,No,Unknown,Partial Coverage,Well Lit,2,79.1,Yes
CRM0000023,2021,3,Monday,Spring,Evening (6pm-10pm),Canada,Urban,1018,Sexual Assault,2.1,1,Male,26-35,0,0,17.02,Firearm,Arrested,Open - Cold Case,Emergency Call,22.5,4,7,No,Unknown,No,Partial Coverage,Well Lit,4,68.4,No
CRM0000024,2022,2,Sunday,Winter,Morning (6am-12pm),Pakistan,Urban,2076,Theft,6.2,2,Female,26-35,2,0,1004.85,Unknown,Arrested,Open - Active,Anonymous Tip,65.6,1,51,Yes,No,No,No Coverage,Poorly Lit,3,44.2,No
CRM0000025,2021,11,Friday,Summer,Night (10pm-2am),Brazil,Urban,2127,Vandalism,6.8,1,Female,46-55,3,0,57.06,,Arrested,Open - Cold Case,Police Station,13.1,6,11,No,,No,Full Coverage,Well Lit,5,70.9,No
CRM0000026,2024,5,Monday,Spring,Morning (6am-12pm),India,Suburban,255,Drug Offense,4.3,1,Male,36-45,0,0,2049.8,,Convicted,Open - Active,Emergency Call,50.3,3,45,No,No,Yes,Partial Coverage,Partially Lit,3,41.8,No
CRM0000027,2024,2,Friday,Autumn,Night (10pm-2am),Canada,Rural,66,Drug Offense,1.3,1,Unknown,,0,0,60.61,Knife,Arrested,Open - Cold Case,Emergency Call,7.0,4,47,Yes,No,No,Full Coverage,No Lighting,3,90.2,No
CRM0000028,2023,9,Sunday,Summer,Evening (6pm-10pm),Nigeria,Urban,752,Sexual Assault,5.9,2,Female,56-65,0,0,80.3,Blunt Object,Acquitted,Closed - Solved,Community Report,41.2,3,42,No,No,Yes,Partial Coverage,Well Lit,3,47.6,Yes
CRM0000029,2024,1,Saturday,Winter,Evening (6pm-10pm),Pakistan,Urban,3047,Fraud,5.0,1,Female,36-45,1,0,370.7,,At Large,Closed - Unsolved,Police Station,48.3,3,427,No,No,No,Partial Coverage,Partially Lit,4,47.0,No
CRM0000030,2022,3,Sunday,Autumn,Afternoon (12pm-6pm),Indonesia,Suburban,734,Burglary,5.6,1,Male,56-65,1,0,438.28,Blunt Object,Arrested,Open - Active,Online Portal,22.5,2,36,No,,Yes,No Coverage,Poorly Lit,2,36.2,No
CRM0000031,2024,4,Sunday,,Late Night (2am-6am),Germany,Suburban,270,Burglary,3.0,1,Male,36-45,0,0,21.75,Blunt Object,Convicted,Closed - Solved,Police Station,53.9,1,8,No,No,Yes,No Coverage,Well Lit,5,56.4,Yes
CRM0000032,2021,3,Sunday,Autumn,Afternoon (12pm-6pm),Egypt,Urban,3994,Arson,4.6,2,Male,46-55,0,0,137.54,Firearm,Arrested,Closed - Solved,Community Report,45.5,3,118,No,No,No,Partial Coverage,Well Lit,1,68.4,Yes
CRM0000033,2023,2,Wednesday,Summer,Evening (6pm-10pm),Pakistan,Remote,32,Robbery,4.4,1,Male,26-35,1,0,170.49,Unknown,Convicted,Closed - Solved,Online Portal,9.1,4,23,Yes,No,No,Full Coverage,Poorly Lit,1,83.7,Yes
CRM0000034,2021,5,Wednesday,Winter,Evening (6pm-10pm),Mexico,Urban,2271,Assault,4.5,1,Female,46-55,0,0,177.78,,At Large,Open - Active,Anonymous Tip,21.8,3,41,Yes,No,Unknown,Partial Coverage,,1,65.4,No
CRM0000035,2023,8,Sunday,Spring,Evening (6pm-10pm),Mexico,,429,Theft,6.3,2,Female,26-35,3,0,100.14,Chemical,Acquitted,Open - Cold Case,Police Station,67.2,2,45,Unknown,No,No,No Coverage,Well Lit,3,33.5,No
CRM0000036,2021,11,Sunday,Summer,Evening (6pm-10pm),Canada,Urban,1804,Sexual Assault,4.9,1,Male,18-25,0,0,52.92,Blunt Object,Under Investigation,Closed - Solved,Police Station,22.6,2,25,Yes,Unknown,Yes,Partial Coverage,Well Lit,5,51.5,Yes
CRM0000037,2025,6,Friday,Autumn,Afternoon (12pm-6pm),Nigeria,Urban,958,Theft,5.9,3,Female,18-25,3,0,1301.98,,Arrested,Open - Cold Case,Community Report,33.3,2,115,Unknown,Unknown,Yes,No Coverage,Poorly Lit,1,44.2,No
CRM0000038,2021,7,Friday,Autumn,Morning (6am-12pm),Indonesia,Urban,2997,Burglary,8.5,1,Unknown,26-35,0,0,1689.98,Blunt Object,At Large,Open - Active,Community Report,209.1,1,73,No,Unknown,No,No Coverage,Poorly Lit,2,22.3,No
CRM0000039,2022,1,Wednesday,Summer,Afternoon (12pm-6pm),India,Urban,4063,Assault,5.2,1,Male,36-45,0,0,314.81,,At Large,Closed - Unsolved,Community Report,129.1,2,71,No,Unknown,Unknown,Partial Coverage,Well Lit,4,44.2,No
CRM0000040,2025,3,Monday,Spring,Evening (6pm-10pm),Pakistan,Suburban,375,Arson,4.8,1,Male,36-45,0,0,761.86,Firearm,Arrested,Open - Active,Police Station,36.1,2,157,Unknown,Yes,No,No Coverage,Well Lit,3,35.2,No
CRM0000041,2025,12,Thursday,Autumn,Late Night (2am-6am),Indonesia,Remote,23,Sexual Assault,7.0,1,Female,,0,0,2020.25,Chemical,Arrested,Open - Active,Online Portal,18.1,2,182,Unknown,Yes,No,Partial Coverage,Poorly Lit,2,63.4,No
CRM0000042,2023,3,Sunday,Spring,Evening (6pm-10pm),India,Urban,1568,Assault,5.5,1,Male,46-55,0,0,265.9,Knife,Under Investigation,Open - Active,Police Station,27.9,3,13,Yes,No,Yes,Partial Coverage,Partially Lit,4,58.3,No
CRM0000043,2025,8,Friday,Autumn,Evening (6pm-10pm),Germany,Rural,89,Fraud,3.0,1,Male,18-25,0,0,26.85,Unknown,At Large,Open - Cold Case,Emergency Call,27.4,2,26,Yes,Yes,No,Partial Coverage,Partially Lit,1,63.9,No
CRM0000044,2024,11,Tuesday,Autumn,Night (10pm-2am),USA,Rural,96,Robbery,5.9,1,Female,Under 18,0,0,44.7,Vehicle,At Large,Closed - Unsolved,Emergency Call,27.1,3,7,Unknown,Yes,No,Partial Coverage,Well Lit,3,48.1,No
